id,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
45,A320,Medium,20:10:00,72600,20:19:43,73183,0.83,1.25,2.02,4.19
46,B772,Heavy,20:13:00,72780,20:13:00,72780,1.83,2.68,4.41,9.35
47,A343,Heavy,20:15:00,72900,20:15:00,72900,1.63,2.39,3.94,8.42
48,B77W,Heavy,20:15:00,72900,20:15:00,72900,2.97,4.37,7.09,14.74
49,A321,Medium,20:15:00,72900,20:52:44,75164,0.93,1.42,2.37,4.97
50,B737,Medium,20:15:00,72900,20:00:56,72056,0.89,1.31,2.13,4.44
51,B77W,Heavy,20:16:00,72960,20:16:00,72960,2.97,4.37,7.09,14.74
52,A319,Medium,20:17:00,73020,20:03:01,72181,0.73,1.12,1.8,3.68
53,XXXX,Light,20:18:00,73080,20:18:00,73080,0.12,0.19,0.33,0.75
54,B744,Heavy,20:22:00,73320,20:22:00,73320,2.37,3.42,5.58,11.79
55,A320,Medium,20:25:00,73500,20:11:41,72701,0.83,1.25,2.02,4.19
56,XXXX,Light,20:26:00,73560,20:26:00,73560,0.12,0.19,0.33,0.75
57,XXXX,Light,20:28:00,73680,20:28:00,73680,0.12,0.19,0.33,0.75
58,XXXX,Light,20:28:00,73680,20:28:00,73680,0.12,0.19,0.33,0.75
59,B744,Heavy,20:29:00,73740,20:29:00,73740,2.37,3.42,5.58,11.79
60,B738,Medium,20:30:00,73800,20:14:53,72893,0.83,1.28,2.1,4.38
61,A320,Medium,20:30:00,73800,20:41:00,74460,0.83,1.25,2.02,4.19
62,XXXX,Light,20:34:00,74040,20:34:00,74040,0.12,0.19,0.33,0.75
63,A333,Heavy,20:35:00,74100,20:35:00,74100,1.57,2.31,3.79,8.04
64,CRJ7,Medium,20:35:00,74100,20:33:33,74013,0.41,0.61,1.0,2.11
65,B738,Medium,20:35:00,74100,20:42:17,74537,0.83,1.28,2.1,4.38
66,A321,Medium,20:35:00,74100,20:35:02,74102,0.93,1.42,2.37,4.97
67,XXXX,Light,20:38:00,74280,20:38:00,74280,0.12,0.19,0.33,0.75
68,A320,Medium,20:40:00,74400,20:59:23,75563,0.83,1.25,2.02,4.19
69,A333,Heavy,20:42:00,74520,20:42:00,74520,1.57,2.31,3.79,8.04
70,A343,Heavy,20:42:00,74520,20:42:00,74520,1.63,2.39,3.94,8.42
71,B744,Heavy,20:43:00,74580,20:43:00,74580,2.37,3.42,5.58,11.79
72,B738,Medium,20:45:00,74700,20:34:49,74089,0.83,1.28,2.1,4.38
73,B738,Medium,20:45:00,74700,20:39:49,74389,0.83,1.28,2.1,4.38
74,A318,Medium,20:45:00,74700,21:03:14,75794,0.74,1.09,1.78,3.73
75,A343,Heavy,20:46:00,74760,20:46:00,74760,1.63,2.39,3.94,8.42
76,B738,Medium,20:50:00,75000,20:34:14,74054,0.83,1.28,2.1,4.38
77,A320,Medium,20:50:00,75000,21:34:48,77688,0.83,1.25,2.02,4.19
78,A333,Heavy,20:51:00,75060,20:51:00,75060,1.57,2.31,3.79,8.04
79,B77W,Heavy,20:53:00,75180,20:53:00,75180,2.97,4.37,7.09,14.74
80,A320,Medium,20:55:00,75300,21:07:54,76074,0.83,1.25,2.02,4.19
81,A319,Medium,20:55:00,75300,21:01:12,75672,0.73,1.12,1.8,3.68
82,B738,Medium,21:05:00,75900,21:01:39,75699,0.83,1.28,2.1,4.38
83,B738,Medium,21:05:00,75900,21:16:48,76608,0.83,1.28,2.1,4.38
84,A319,Medium,21:05:00,75900,21:20:34,76834,0.73,1.12,1.8,3.68
85,A320,Medium,21:10:00,76200,21:40:23,78023,0.83,1.25,2.02,4.19
86,A319,Medium,21:10:00,76200,20:53:13,75193,0.73,1.12,1.8,3.68
87,XXXX,Light,21:12:00,76320,21:12:00,76320,0.12,0.19,0.33,0.75
88,A319,Medium,21:15:00,76500,21:31:56,77516,0.73,1.12,1.8,3.68
89,A343,Heavy,21:17:00,76620,21:17:00,76620,1.63,2.39,3.94,8.42
90,XXXX,Light,21:17:00,76620,21:17:00,76620,0.12,0.19,0.33,0.75
91,XXXX,Light,21:19:00,76740,21:19:00,76740,0.12,0.19,0.33,0.75
92,B77W,Heavy,21:20:00,76800,21:20:00,76800,2.97,4.37,7.09,14.74
93,A333,Heavy,21:22:00,76920,21:22:00,76920,1.57,2.31,3.79,8.04
94,CRJX,Medium,21:22:00,76920,21:24:59,77099,0.35,0.51,0.85,1.84
95,XXXX,Light,21:23:00,76980,21:23:00,76980,0.12,0.19,0.33,0.75
96,B772,Heavy,21:25:00,77100,21:25:00,77100,1.83,2.68,4.41,9.35
97,B738,Medium,21:25:00,77100,22:09:18,79758,0.83,1.28,2.1,4.38
98,A320,Medium,21:25:00,77100,22:05:45,79545,0.83,1.25,2.02,4.19
99,A343,Heavy,21:28:00,77280,21:28:00,77280,1.63,2.39,3.94,8.42
100,B744,Heavy,21:31:00,77460,21:31:00,77460,2.37,3.42,5.58,11.79
101,B77W,Heavy,21:32:00,77520,21:32:00,77520,2.97,4.37,7.09,14.74
102,XXXX,Light,21:34:00,77640,21:34:00,77640,0.12,0.19,0.33,0.75
103,B738,Medium,21:35:00,77700,21:39:45,77985,0.83,1.28,2.1,4.38
104,A343,Heavy,21:35:00,77700,21:35:00,77700,1.63,2.39,3.94,8.42
105,B744,Heavy,21:36:00,77760,21:36:00,77760,2.37,3.42,5.58,11.79
106,B744,Heavy,21:38:00,77880,21:38:00,77880,2.37,3.42,5.58,11.79
107,A333,Heavy,21:38:00,77880,21:38:00,77880,1.57,2.31,3.79,8.04
108,B77W,Heavy,21:39:00,77940,21:39:00,77940,2.97,4.37,7.09,14.74
109,A333,Heavy,21:39:00,77940,21:39:00,77940,1.57,2.31,3.79,8.04
110,A333,Heavy,21:39:00,77940,21:39:00,77940,1.57,2.31,3.79,8.04
111,A343,Heavy,21:41:00,78060,21:41:00,78060,1.63,2.39,3.94,8.42
112,A333,Heavy,21:42:00,78120,21:42:00,78120,1.57,2.31,3.79,8.04
113,B77W,Heavy,21:43:00,78180,21:43:00,78180,2.97,4.37,7.09,14.74
114,A343,Heavy,21:44:00,78240,21:44:00,78240,1.63,2.39,3.94,8.42
115,XXXX,Light,21:44:00,78240,21:44:00,78240,0.12,0.19,0.33,0.75
116,A321,Medium,21:45:00,78300,21:52:30,78750,0.93,1.42,2.37,4.97
117,XXXX,Light,21:45:00,78300,21:45:00,78300,0.12,0.19,0.33,0.75
118,XXXX,Light,21:46:00,78360,21:46:00,78360,0.12,0.19,0.33,0.75
119,B738,Medium,21:50:00,78600,21:42:45,78165,0.83,1.28,2.1,4.38
120,B77W,Heavy,21:50:00,78600,21:50:00,78600,2.97,4.37,7.09,14.74
121,CRJX,Medium,21:50:00,78600,22:12:46,79966,0.35,0.51,0.85,1.84
122,XXXX,Light,21:50:00,78600,21:50:00,78600,0.12,0.19,0.33,0.75
123,B772,Heavy,21:54:00,78840,21:54:00,78840,1.83,2.68,4.41,9.35
124,A333,Heavy,21:54:00,78840,21:54:00,78840,1.57,2.31,3.79,8.04
125,B738,Medium,21:55:00,78900,22:30:47,81047,0.83,1.28,2.1,4.38
126,B744,Heavy,21:57:00,79020,21:57:00,79020,2.37,3.42,5.58,11.79
127,B772,Heavy,22:01:00,79260,22:01:00,79260,1.83,2.68,4.41,9.35
128,B772,Heavy,22:03:00,79380,22:03:00,79380,1.83,2.68,4.41,9.35
129,A333,Heavy,22:05:00,79500,22:05:00,79500,1.57,2.31,3.79,8.04
130,B734,Medium,22:10:00,79800,22:40:09,81609,0.83,1.22,1.94,3.99
131,B738,Medium,22:10:00,79800,21:54:25,78865,0.83,1.28,2.1,4.38
132,B77W,Heavy,22:11:00,79860,22:11:00,79860,2.97,4.37,7.09,14.74
133,A343,Heavy,22:12:00,79920,22:12:00,79920,1.63,2.39,3.94,8.42
134,A333,Heavy,22:12:00,79920,22:12:00,79920,1.57,2.31,3.79,8.04
135,A333,Heavy,22:13:00,79980,22:13:00,79980,1.57,2.31,3.79,8.04
136,A333,Heavy,22:15:00,80100,22:15:00,80100,1.57,2.31,3.79,8.04
137,B738,Medium,22:20:00,80400,22:21:06,80466,0.83,1.28,2.1,4.38
138,A320,Medium,22:25:00,80700,22:39:28,81568,0.83,1.25,2.02,4.19
139,B738,Medium,22:25:00,80700,22:49:17,82157,0.83,1.28,2.1,4.38
140,B744,Heavy,22:26:00,80760,22:26:00,80760,2.37,3.42,5.58,11.79
141,XXXX,Light,22:26:00,80760,22:26:00,80760,0.12,0.19,0.33,0.75
142,A343,Heavy,22:29:00,80940,22:29:00,80940,1.63,2.39,3.94,8.42
143,A321,Medium,22:30:00,81000,22:36:29,81389,0.93,1.42,2.37,4.97
144,B772,Heavy,22:32:00,81120,22:32:00,81120,1.83,2.68,4.41,9.35
145,XXXX,Light,22:33:00,81180,22:33:00,81180,0.12,0.19,0.33,0.75
146,A343,Heavy,22:33:00,81180,22:33:00,81180,1.63,2.39,3.94,8.42
147,B772,Heavy,22:33:00,81180,22:33:00,81180,1.83,2.68,4.41,9.35
148,XXXX,Light,22:33:00,81180,22:33:00,81180,0.12,0.19,0.33,0.75
149,B738,Medium,22:35:00,81300,23:04:39,83079,0.83,1.28,2.1,4.38
150,B738,Medium,22:35:00,81300,22:29:35,80975,0.83,1.28,2.1,4.38
151,CRJ7,Medium,22:35:00,81300,22:42:10,81730,0.41,0.61,1.0,2.11
152,A343,Heavy,22:37:00,81420,22:37:00,81420,1.63,2.39,3.94,8.42
153,XXXX,Light,22:37:00,81420,22:37:00,81420,0.12,0.19,0.33,0.75
154,B738,Medium,22:40:00,81600,22:21:40,80500,0.83,1.28,2.1,4.38
155,XXXX,Light,22:42:00,81720,22:42:00,81720,0.12,0.19,0.33,0.75
156,B77W,Heavy,22:43:00,81780,22:43:00,81780,2.97,4.37,7.09,14.74
157,B744,Heavy,22:46:00,81960,22:46:00,81960,2.37,3.42,5.58,11.79
158,B77W,Heavy,22:48:00,82080,22:48:00,82080,2.97,4.37,7.09,14.74
159,B772,Heavy,22:49:00,82140,22:49:00,82140,1.83,2.68,4.41,9.35
160,B744,Heavy,22:50:00,82200,22:50:00,82200,2.37,3.42,5.58,11.79
161,B738,Medium,22:50:00,82200,23:15:04,83704,0.83,1.28,2.1,4.38
162,XXXX,Light,22:52:00,82320,22:52:00,82320,0.12,0.19,0.33,0.75
163,XXXX,Light,22:52:00,82320,22:52:00,82320,0.12,0.19,0.33,0.75
164,XXXX,Light,22:54:00,82440,22:54:00,82440,0.12,0.19,0.33,0.75
165,B744,Heavy,22:54:00,82440,22:54:00,82440,2.37,3.42,5.58,11.79
166,A319,Medium,22:55:00,82500,22:53:57,82437,0.73,1.12,1.8,3.68

